tick,pubid,age,xcor,ycor,borough,OAID,spend,nearby_pubs,rating,numrat,income_per_tick,pubrent,alive_at_40,int_xcor,int_ycor
39,new_3102,39,15,-8,Lewisham,E00016220,79131,23,4.391701170047629,0,873229.3332,6070.000000000001,1,15,-8
39,new_3103,39,-53,37,Harrow,E00010878,129865,14,2.990769462894204,0,653011.3818,5410,1,-53,37
39,new_3104,39,-35,-12,Wandsworth,E00023411,183359,20,3.039643323801695,0,1321379.2091,7870.000000000001,1,-35,-12
39,new_3105,39,35,31,Redbridge,E00018582,40729.310000000005,16,3.591146439359347,0,494538.6143,4035.000000000001,1,35,31
3,new_3106,3,-41,53,Barnet,E00001122,107518,10,4.697412745726792,0,734254.5718,5500,0,-41,53
0,new_3107,0,-13,-37,Merton,E00017075,93870,7,2.5156147455067055,0,0,4384.999999999999,0,-13,-37
0,new_3108,0,-42,-20,Richmond upon Thames,E00019112,217093,6,2.636056547189291,0,0,6510,0,-42,-20
39,new_3109,39,40,31,Redbridge,E00018871,62323,19,4.2157899256719,0,659811.792,4290.000000000001,1,40,31
39,new_3110,39,-52,-48,Kingston upon Thames,E00014824,120613.65,11,4.400787631398623,0,799051.4293,5500,1,-52,-48
39,new_3111,39,-47,52,Barnet,E00000925,120576,7,3.9154027016600734,0,754359.3469,5515,1,-47,52
0,new_3112,0,62,-4,Bexley,E00001823,45302.1,14,2.989987069279676,0,0,4030,0,62,-4
39,new_3113,39,42,-40,Bromley,E00003990,128456.08,13,4.472235152404562,0,1085213.013,5635,1,42,-40
39,new_3114,39,-68,-30,Richmond upon Thames,E00019233,141641,7,4.5049740355337295,0,752667.7426,4870.000000000001,1,-68,-30
0,new_3115,0,12,21,Tower Hamlets,E00021266,50168,21,2.560722851105419,0,0,5025.000000000001,0,12,21
39,new_3116,39,-42,9,Ealing,E00005984,118310,18,2.755459945348384,0,1018616.1041,6705,1,-42,9
39,new_3117,39,-35,-29,Merton,E00017520,183327.4,12,3.10419150226259,0,968613.0672,7485.000000000001,1,-35,-29
39,new_3118,39,-54,-25,Richmond upon Thames,E00019282,145754,13,2.89745639828167,0,924429.3836,8150,1,-54,-25
39,new_3119,39,-8,-4,Lambeth,E00015789,133870.06,35,4.806582272685848,0,1431823.1765,7010,1,-8,-4
39,new_3120,39,-29,-39,Merton,E00017319,104972.32999999996,13,3.984189316167394,0,630420.4778,5410.000000000001,1,-29,-39
39,new_3121,39,-55,-35,Richmond upon Thames,E00019239,2051275,12,3.714684247438459,0,928266.2425,6999.999999999998,1,-55,-35
39,new_3122,39,-74,-10,Hounslow,E00012869,75887,12,3.218537882694537,0,534409.4608,3770,1,-74,-10
0,new_3123,0,58,52,Havering,E00011496,38951,5,2.8551228167821714,0,0,5500,0,58,52
0,new_3124,0,92,25,Havering,E00011911,105987,5,4.532887479659399,0,0,5000,0,92,25
39,new_3125,39,-3,-66,Croydon,E00005361,173646,11,3.3452533082606326,0,614809.7226,5000.000000000001,1,-3,-66
0,new_3126,0,56,-1,Bexley,E00001659,61661,15,3.1549063856456043,0,0,3650,0,56,-1
2,new_3127,2,-11,43,Haringey,E00009840,85985.20999999999,16,4.816096562035428,0,785775.2441,7910,0,-11,43
0,new_3128,0,46,40,Redbridge,E00018353,45212,6,2.7297621185134076,0,0,4000,0,46,40
1,new_3129,1,-7,48,Enfield,E00007447,62770,14,3.407661035819558,0,554540.7754,5645,0,-7,48
39,new_3130,39,0,57,Enfield,E00007246,87545,12,4.186431265820226,0,678601.7881,5579.999999999999,1,0,57
0,new_3131,0,20,58,Waltham Forest,E00021900,94941,9,2.9944105821496327,0,0,5500,0,20,58
39,new_3132,39,-3,1,Southwark,E00167998,139928.96,33,4.05333366144618,0,1041478.3478,6680.000000000001,1,-3,1
39,new_3133,39,-44,38,Brent,E00002873,92817.86999999998,21,3.0326332914260936,0,586420.1017,5545,1,-44,38
39,new_3134,39,-46,51,Barnet,E00000929,132976,10,3.9270258748170126,0,822739.542,5560,1,-46,51
0,new_3135,0,64,28,Barking and Dagenham,E00000197,54573,9,4.275953368827848,0,0,4475,0,64,28
1,new_3136,1,-76,36,Hillingdon,E00012133,232272,15,2.8742570587796106,0,674485.8768,5855,0,-76,36
39,new_3137,39,-70,30,Harrow,E00011038,102687.35,11,4.762597122492242,0,1205137.5648,5215,1,-70,30
39,new_3138,39,-41,43,Barnet,E00000654,56953,16,3.927807711310621,0,654769.8692,5384.999999999999,1,-41,43
39,new_3139,39,-29,23,Brent,E00004319,236744.1,30,4.695934141380975,0,2201620.698,7300.000000000001,1,-29,23
39,new_3140,39,7,61,Enfield,E00007498,48938,10,3.43278541431199,0,590620.2695,5000,1,7,61
39,new_3141,39,68,21,Havering,E00011292,33466,5,4.331649893892076,0,938684.5106,3905,1,68,21
39,new_3142,39,-40,-32,Kingston upon Thames,E00014910,159560,15,3.1676393303239925,0,786221.4987,6584.999999999998,1,-40,-32
0,new_3143,0,-5,71,Enfield,E00007029,90725,5,4.524186935414937,0,0,5535,0,-5,71
39,new_3144,39,-83,3,Hillingdon,E00012393,135156,16,3.922660817480655,0,565803.8235,4894.999999999999,1,-83,3
39,new_3145,39,33,25,Newham,E00018091,80743.66,12,3.775933124776005,0,1319618.221,3985,1,33,25
0,new_3146,0,-57,-1,Hounslow,E00013306,152729,23,4.651038578816819,0,0,5500,0,-57,-1
39,new_3147,39,62,-16,Bexley,E00166760,142384,5,4.157611412738297,0,583059.7372,4559.999999999999,1,62,-16
39,new_3148,39,-85,-17,Hounslow,E00012742,171173,6,4.405035415310326,0,378769.3212,3520,1,-85,-17
0,new_3149,0,33,-63,Bromley,E00003184,115965,13,4.180499553632083,0,0,5595,0,33,-63
0,new_3150,0,-6,32,Haringey,E00010359,68781.08999999998,24,2.6326237300352555,0,0,7180.000000000001,0,-6,32
39,new_3151,39,19,41,Waltham Forest,E00171512,61723.29,8,4.92124091633139,0,1331088.1097,5260.000000000001,1,19,41
0,new_3152,0,23,-59,Croydon,E00005381,84568,5,3.778829442464418,0,0,3510,0,23,-59
0,new_3153,0,34,-66,Bromley,E00003654,123862,12,4.142375800793823,0,0,7785,0,34,-66
39,new_3154,39,57,30,Barking and Dagenham,E00000305,69570,6,3.978256405409368,0,850865.6146,4095,1,57,30
3,new_3155,3,19,14,Tower Hamlets,E00167214,66683,17,3.988161737223676,0,508487.1036,5019.999999999999,0,19,14
39,new_3156,39,-42,23,Brent,E00002887,86437,12,3.541152485484889,0,1115401.8428,4140,1,-42,23
1,new_3157,1,25,27,Redbridge,E00019056,36240,16,4.73402872141662,0,590076.3867,5520,0,25,27
39,new_3158,39,45,0,Greenwich,E00008342,69269.58,10,2.513297299233202,0,673429.0944,3785,1,45,0
39,new_3159,39,39,26,Redbridge,E00018559,52442.13999999999,18,4.787552817171449,0,739845.7077,3514.999999999999,1,39,26
39,new_3160,39,-16,60,Enfield,E00178746,140829,7,3.91265578086377,0,973006.7789,6005,1,-16,60
39,new_3161,39,-7,-51,Sutton,E00020577,128631,11,4.833320044593201,0,744152.7001,4255.000000000001,1,-7,-51
39,new_3162,39,13,-25,Bromley,E00003946,77168,13,4.764314921800835,0,699697.4986,5135,1,13,-25
39,new_3163,39,15,5,Tower Hamlets,E00183939,223971.0121951219,30,3.232974427734443,0,1724039.2399,7075,1,15,5
39,new_3164,39,-27,35,Barnet,E00001048,152825.00999999995,12,3.65971029490012,0,1882256.0086,6429.999999999998,1,-27,35
39,new_3165,39,32,18,Newham,E00017808,64408.08000000001,14,3.1418854457376657,0,1059808.0166,3640,1,32,18
0,new_3166,0,8,44,Haringey,E00010214,35543,6,2.5681529594672043,0,0,3940.000000000001,0,8,44
0,new_3167,0,-7,-45,Croydon,E00180979,79037,14,2.7697673328807517,0,0,3940.000000000001,0,-7,-45
39,new_3168,39,67,31,Havering,E00011584,49436,10,3.75251818692934,0,483497.2528,4300.000000000001,1,67,31
39,new_3169,39,-85,43,Hillingdon,E00012329,412655,8,4.572155940370175,0,1062498.3293,6560,1,-85,43
0,new_3170,0,19,37,Waltham Forest,E00022454,56613.329999999994,22,3.213541905862769,0,0,6165,0,19,37
39,new_3171,39,-40,-39,Kingston upon Thames,E00014980,190643,9,2.872703130161399,0,1722138.8033,5480,1,-40,-39
0,new_3172,0,44,-56,Bromley,E00003648,1361636,5,3.741817626093252,0,0,5500,0,44,-56
39,new_3173,39,-79,4,Hillingdon,E00184438,120149.86999999997,18,3.301223499289511,0,524886.3683,4060.000000000001,1,-79,4
39,new_3174,39,-21,-18,Wandsworth,E00023292,241621,30,3.5072690777808044,0,1207608.3011,8350,1,-21,-18
4,new_3175,4,-21,-57,Sutton,E00020629,160737,6,3.2072723779848067,0,687173.1881,5920,0,-21,-57
39,new_3176,39,2,-47,Croydon,E00005219,121676,23,2.7078471382910423,0,680237.3497,5615,1,2,-47
39,new_3177,39,-30,-39,Merton,E00017297,136736,12,3.902147847485097,0,732781.3493,5530,1,-30,-39
39,new_3178,39,-17,44,Barnet,E00000794,116416,9,4.861225060472605,0,921294.6105,4795.000000000001,1,-17,44
1,new_3179,1,-86,5,Hillingdon,E00184502,122129,11,2.939727146260856,0,485602.9295,4699.999999999999,0,-86,5
39,new_3180,39,-51,-26,Kingston upon Thames,E00015149,224465,19,4.281889555639927,0,1078042.5952,7420,1,-51,-26
39,new_3181,39,22,-56,Croydon,E00005373,85428,4,3.7987419001359384,0,520921.7625,3500,1,22,-56
39,new_3182,39,12,5,Southwark,E00177617,79790,34,3.877842783514162,0,853758.6454,7694.999999999998,1,12,5
0,new_3183,0,-59,1,Hounslow,E00013303,183490,20,4.454343977332385,0,0,5590.000000000001,0,-59,1
39,new_3184,39,36,-18,Greenwich,E00007937,95238,9,4.950671856158175,0,757874.8108,4570.000000000001,1,36,-18
0,new_3185,0,55,-43,Bromley,E00003520,82510,4,4.614524934461352,0,0,4665,0,55,-43
39,new_3186,39,-63,8,Ealing,E00006065,82223,12,3.024385576388193,0,432050.3164,4300,1,-63,8
39,new_3187,39,6,24,Hackney,E00008779,93881,33,2.933822470966083,0,649314.8026,5220.000000000001,1,6,24
39,new_3188,39,41,23,Barking and Dagenham,E00000346,69040,15,3.5717897406176307,0,431839.2317,4015,1,41,23
1,new_3189,1,-39,-27,Kingston upon Thames,E00014881,344013,6,3.6537897681015385,0,870757.28,8014.999999999998,0,-39,-27
0,new_3190,0,-62,52,Harrow,E00010743,34177,2,3.4496611552815932,0,0,6580,0,-62,52
39,new_3191,39,-2,-36,Croydon,E00004958,79229,13,2.6744563390626466,0,837973.4221,3510,1,-2,-36
0,new_3192,0,57,-39,Bromley,E00003520,82510,4,2.689444812229337,0,0,4500.000000000001,0,57,-39
1,new_3193,1,-93,2,Hillingdon,E00012566,118518,10,2.86195807814206,0,456502.5432,4300,0,-93,2
39,new_3194,39,15,6,Tower Hamlets,E00167122,244900.26829268297,34,3.3685745782425816,0,1042162.384,8215,1,15,6
0,new_3195,0,-77,20,Hillingdon,E00184414,70322,8,3.4377926969068495,0,0,4500.000000000001,0,-77,20
39,new_3196,39,-9,13,Camden,E00174659,338067.42000000004,11,3.0268927034181914,0,5358562.9168,10000,1,-9,13
39,new_3197,39,4,-40,Croydon,E00004871,116638,18,2.715639016100516,0,1024493.1183,4070.000000000001,1,4,-40
39,new_3198,39,-14,10,Westminster,E00024129,456051,20,4.9906350848510215,0,5184083.5708,13140.000000000002,1,-14,10
0,new_3199,0,43,-69,Bromley,E00003651,1636074,2,2.933638910023012,0,0,5675,0,43,-69
39,new_3200,39,-30,-13,Wandsworth,E00183138,205404.05,32,4.847262182840781,0,2355116.4299,8030,1,-30,-13
39,new_3201,39,54,31,Barking and Dagenham,E00185822,65783,12,3.35877083839664,0,616032.8114,3884.999999999999,1,54,31
0,new_3202,0,23,7,NaN,NaN,NA,13,3.057663088513716,0,0,7385,0,23,7
39,new_3203,39,17,-50,Croydon,E00005273,82021,8,4.556826960128722,0,461899.4956,3500.0000000000005,1,17,-50
39,new_3204,39,-7,-11,Lambeth,E00015424,122743.89,39,4.95151318725271,0,987090.1247,6530,1,-7,-11
0,new_3205,0,-12,43,Haringey,E00009844,100414,10,4.064435735339572,0,0,8175,0,-12,43
0,new_3206,0,18,58,Waltham Forest,E00021903,76154,7,4.201907102088321,0,0,5179.999999999999,0,18,58
39,new_3207,39,6,-54,Croydon,E00005601,197346,10,2.993922553073677,0,675971.36,5120,1,6,-54
39,new_3208,39,35,-25,Bromley,E00182637,184365,8,2.946581454448913,0,1091140.0237,4839.999999999999,1,35,-25
39,new_3209,39,-17,-53,Sutton,E00020684,180905,8,4.634681397312937,0,1513276.9455,5585.000000000001,1,-17,-53
39,new_3210,39,29,17,Newham,E00017649,85178.12000000001,17,3.1216700144361287,0,1026712.4604,3699.999999999999,1,29,17
39,new_3211,39,-11,28,Islington,E00013791,154441,41,4.07163150899807,0,879622.9756,7675,1,-11,28
39,new_3212,39,28,10,Newham,E00017791,82508.49,16,4.736536442240556,0,1214421.0349,4180.000000000001,1,28,10
0,new_3213,0,29,3,Greenwich,E00008497,36340,9,3.740223562154159,0,0,8320.000000000002,0,29,3
