tick,pubid,age,xcor,ycor,borough,OAID.x,spend.x,nearby_pubs,rating,numrat,income_per_tick,pubrent,alive_at_40,int_xcor,int_ycor,patchrent,OAID.y,patch_borough,spend.y,reachable_pubs,reachable_consumers,reachable_spending,initial_pubs,dead_pubs,current_pubs
0,ChIJIb6wZj0adkgRC-FmcO1h3PI,1,-19.2871,37.1174,Barnet,E00001028,159325,15,4.3,1584,1228324.9605,8525.000000000002,0,-19,37,8525.000000000002,E00001028,Barnet,159325,12,109,11375244,1,1,0
39,ChIJIdj4esEBdkgRY4tPaVgsSnw,40,17.4454,-30.8226,Bromley,E00003766,123622,11,4.7,360,932593.5411,5820.000000000001,1,17,-31,5820.000000000001,E00003766,Bromley,123622,13,101,11330299,1,0,1
39,ChIJIekCn-sGdkgRC3d1gxhrDTE,40,-7.27,-31.3208,Croydon,E00174928,129657.03,6,4,1190,2704204.8625,3995.000000000001,1,-7,-31,3995.000000000001,E00174928,Croydon,129657.03,6,155,17268930,1,0,1
39,ChIJIxiUFbQCdkgROb7YDBcAqiY,40,16.1458,9.0063,Tower Hamlets,E00183728,120028.82999999999,31,4.3,160,1149902.3964,5075,1,16,9,5075,E00183728,Tower Hamlets,120028.82999999999,33,273,36490074,1,0,1
39,ChIJIxo_M7Wv2EcRF4AsLrN5zk4,40,59.8031,-4.3479,Bexley,E00002174,46637.19,11,4.1,201,463589.9152,4015,1,60,-4,4015,E00002174,Bexley,46637.19,10,115,5883897,1,0,1
0,ChIJIyQQonSp2EcR097Zjo0RuQM,1,33.8101,-13.5557,Greenwich,E00182304,94026.98000000001,12,3.9,454,564455.6009,4425,0,34,-14,4425,E00182304,Greenwich,94026.98000000001,7,89,7099654,4,3,1
39,ChIJIzPpcbUPdkgRrBQHOwv5F6s,40,-34.4207,0.8083,Hammersmith and Fulham,E00009490,321337.33,46,4,1670,993832.017,6770.000000000001,1,-34,1,6770.000000000001,E00009490,Hammersmith and Fulham,321337.33,52,256,59116654,3,0,4
0,ChIJIzl7nj4XdkgRXG0ZUt32dLg,1,-32.4076,48.1596,Barnet,E00001271,138639,5,4.2,1191,1894787.8734,6050,0,-32,48,6050,E00001271,Barnet,138639,4,34,3387129,1,1,0
39,ChIJIznXgV8QdkgRHWCoas8BpT4,40,-30.9041,25.3049,Brent,E00002700,189920.33,21,4.2,4628,912366.9388,6350,1,-31,25,6350,E00002700,Brent,189920.33,24,182,27620303,4,0,4
39,ChIJJ-x2r-QLdkgR4xbZXefo1Js,40,-47.1729,-27.5613,Kingston upon Thames,E00014784,152343.01,22,4.7,213,1120597.1359,6310,1,-47,-28,6310,E00014784,Kingston upon Thames,152343.01,23,119,21240744,1,0,1
39,ChIJJ0aPlhcPdkgRd3a6ZxIDaR0,40,-31.7063,-14.2031,Wandsworth,E00023390,361631,20,4.400000000000001,1189,2805906.659,6980,1,-32,-14,6980,E00023390,Wandsworth,361631,22,170,37495932,1,0,1
1,ChIJJ0voQoEDdkgRxAxwOW2L1PY,2,-0.3221,-7.7566,Southwark,E00019703,160469,29,4.2,949,897126.8128,8140,0,-0,-8,8140,E00019703,Southwark,160469,33,240,30918660,1,1,0
39,ChIJJ11BJ5ys2EcRDDinvXm2wXY,40,43.9181,-43.4353,Bromley,E00003954,153498,9,4.1,405,1641963.3888,5580,1,44,-43,5580,E00003954,Bromley,153498,9,87,9662062,1,0,1
0,ChIJJ1yEpHQPdkgRZLSxDQJH9W0,1,-29.1025,-8.5317,Hammersmith and Fulham,E00009600,214236.22727272724,38,4.400000000000001,918,1137324.8262,10800.000000000002,0,-29,-9,10800.000000000002,E00009600,Hammersmith and Fulham,214236.22727272724,34,217,55219859,1,1,0
39,ChIJJ4NvgQkSdkgRujxirIXtTrQ,40,-50.9763,9.733,Ealing,E00006098,122189,25,4.400000000000001,494,1056996.6347,8030,1,-51,10,8030,E00006098,Ealing,122189,24,148,24963933,2,0,2
39,ChIJJ4d8-g0PdkgRuJ8Ad4CaXIE,40,-30.543,-10.631,Wandsworth,E00023202,286543.82,33,4.3,1350,1236700.7535,8545,1,-31,-11,8545,E00023202,Wandsworth,286543.82,30,171,40887772,3,0,3
39,ChIJJ5NZYAcFdkgRUjXqc2l4VOI,40,-14.3264,-6.3063,Wandsworth,E00022956,238867.89999999997,31,4.7,1736,1491815.265,5835,1,-14,-6,5835,E00022956,Wandsworth,238867.89999999997,32,236,43911564,1,0,1
39,ChIJJ6rUhUwHdkgRIw2SCNcrEto,40,-0.7018,-48.314,Croydon,E00005834,152418.6,19,4.2,202,979655.3047,4329.999999999999,1,-1,-48,4329.999999999999,E00005834,Croydon,152418.6,21,137,16385687,2,0,2
39,ChIJJ8rwnmoFdkgRBWhVbmSvlWw,40,-18.802,1.5414,Kensington and Chelsea,E00014078,231033.75,32,4.2,716,2875393.0748,14950,1,-19,2,14950,E00014078,Kensington and Chelsea,231033.75,32,248,77469110,2,0,2
0,ChIJJ91393QBdkgRJzPhI_NNwXU,1,9.5466,-28.7378,Bromley,E00003932,95758,15,4,1358,626562.6991,5900,0,10,-29,5900,E00003932,Bromley,95758,15,155,12208266,1,1,0
39,ChIJJQc-kZ1zdkgRwkCfI_r7IuA,40,-79.4163,4.3759,Hillingdon,E00184438,120149.86999999997,13,4.3,257,1048347.2241,4060.000000000001,1,-79,4,4060.000000000001,E00184438,Hillingdon,120149.86999999997,12,85,10805629,1,0,1
39,ChIJJVbfjU8HdkgRKAU73qbMzx0,40,-12.3578,-24.8298,Wandsworth,E00022760,200571.02000000002,20,3.8,378,2030870.692,5155,1,-12,-25,5155,E00022760,Wandsworth,200571.02000000002,21,211,31177056,1,0,1
39,ChIJJWLCw_VsdkgRgSNY0VVNNDI,40,-80.9182,30.485,Hillingdon,E00012605,348593,10,4.2,247,1385522.6583,5710,1,-81,30,5710,E00012605,Hillingdon,348593,11,73,14105490,2,0,2
39,ChIJJWdg1a0RdkgR3lrFJ3X6apU,40,-37.3572,22.2747,Brent,E00003095,93881.45999999999,14,4.6,472,1008443.1115,4900.000000000001,1,-37,22,4900.000000000001,E00003095,Brent,93881.45999999999,17,171,14223399,1,0,2
39,ChIJJXWlgBQOdkgRecXwM6Odv90,40,-42.2541,1.996,Ealing,E00006847,132868.99999999997,29,4.3,1046,1065961.749,6795,1,-42,2,6795,E00006847,Ealing,132868.99999999997,28,205,32557927,1,0,1
39,ChIJJZMlC9kcdkgRc0w0D3PIO2c,40,8.2362,15.6149,Tower Hamlets,E00021148,103538.87,44,4.5,548,992242.7871,5814.999999999999,1,8,16,5814.999999999999,E00021148,Tower Hamlets,103538.87,43,300,38904096,2,0,2
39,ChIJJ_K-uFMEdkgRXGHvRYp6eJQ,40,-11.453,-8.9053,Lambeth,E00015305,112028.08,37,4.400000000000001,536,1101242.7295,7970,1,-11,-9,7970,E00015305,Lambeth,112028.08,36,276,41051297,1,0,1
39,ChIJJ_ibG6VzdkgRWr2WyDgpHMI,40,-71.1713,-7.7259,Hounslow,E00013234,163024,16,3.9,214,1334483.5294,3980.000000000001,1,-71,-8,3980.000000000001,E00013234,Hounslow,163024,19,124,14784491,1,0,1
39,ChIJJaASGr-v2EcRKcx_Fifz-u0,40,59.6449,2.4039,Bexley,E00001984,52865,5,4.6,46,555033.2469,3935.000000000001,1,60,2,3935.000000000001,E00001984,Bexley,52865,5,69,3162703,1,0,1
39,ChIJJaEQKYKq2EcRSx7JJ4raQ30,40,22.6107,-39.5778,Bromley,E00004114,109315.22000000002,9,4.5,3344,1080591.4015,5205,1,23,-40,5205,E00004114,Bromley,109315.22000000002,9,71,7978702,1,0,1
39,ChIJJeI733IEdkgRonWW17fuy6w,40,-3.2456,-13.6181,Lambeth,E00015490,223273,29,4.2,859,963412.954,8145,1,-3,-14,8145,E00015490,Lambeth,223273,29,178,26789358,4,0,4
39,ChIJJf3IuA4GdkgRlmfiVML1GbA,40,-19.3597,-24.7383,Wandsworth,E00022780,220773.21,31,4.3,1001,1068474.4514,6434.999999999998,1,-19,-25,6434.999999999998,E00022780,Wandsworth,220773.21,30,221,34497181,1,0,1
