pxcor,pycor,patchrent,OAID,patch_borough,spend,reachable_pubs,reachable_consumers,reachable_spending,initial_pubs,dead_pubs,current_pubs
-41,-37,5579.999999999999,E00015031,Kingston upon Thames,212291,10,105,18673421,0,0,0
-19,-59,4560,E00020667,Sutton,211463,2,10,1850899,0,0,0
-94,42,4405.000000000001,E00012156,Hillingdon,221515,3,18,2441819,0,0,0
48,-26,4690,E00002088,Bexley,69924,4,55,3556349,0,0,0
24,-19,5135.000000000001,E00016945,Lewisham,63899,10,147,11990025,0,0,0
-86,48,6000.000000000001,E00012336,Hillingdon,329597,7,13,4345403,0,0,0
-28,23,7130.000000000002,E00004282,Camden,246186.44,37,243,61857990,1,0,2
-37,-34,5715,E00014762,Kingston upon Thames,213773,14,107,16932595,0,0,0
49,-31,3660.000000000001,E00003582,Bromley,64082,7,61,3767132,0,0,0
-39,-42,6000.000000000001,E00014984,Kingston upon Thames,399118,4,63,12824876,0,0,0
-33,-28,8720,E00017513,Merton,159718.64,8,101,15607184,0,0,0
-44,-33,5660.000000000001,E00014953,Kingston upon Thames,147286,16,118,19205086,0,0,0
19,29,5360.000000000001,E00022005,Waltham Forest,53017.49999999998,15,209,10656035,0,0,0
10,4,7344.999999999998,E00167487,Southwark,190087.52000000002,29,219,30583170,0,0,0
-94,-4,3600,E00012188,Hillingdon,197651,0,6,757658,0,0,0
35,-6,3809.999999999999,E00008399,Greenwich,102876,11,104,8383637,1,0,1
72,-8,4500,E00002128,Bexley,42305,1,8,352932,0,0,0
-84,-13,4430,E00012179,Hillingdon,243502,4,30,3617444,0,0,0
-11,-73,5470.000000000001,E00005080,Croydon,175002,2,10,1579301,0,0,0
15,32,4660.000000000001,E00022229,Waltham Forest,67107.68000000001,14,175,9231655,0,0,0
-69,-25,6540,E00019252,Richmond upon Thames,127834,9,86,10653670,0,0,0
-55,-14,9280,E00019459,Richmond upon Thames,160112.64,12,107,16533096,1,0,1
53,8,4100,E00002296,Bexley,43763,5,60,3805785,0,0,0
50,33,5200.000000000001,E00018474,Redbridge,72427,11,136,7793259,0,0,0
18,-21,4380.000000000001,E00016273,Lewisham,85627.47,11,133,10512154,0,0,0
18,35,6914.999999999998,E00022156,Waltham Forest,55859.240000000005,16,200,11180486,0,0,0
51,32,4585,E00018476,Redbridge,54654.21,13,151,8632124,0,0,0
28,23,5095.000000000001,E00174979,Newham,74271.17,17,220,16902541,0,0,0
22,37,5904.999999999999,E00022471,Waltham Forest,45885,8,136,7927293,0,0,0
91,29,5725.000000000001,E00011911,Havering,105987,0,4,298249,0,0,0
-68,-1,4430,E00013083,Hounslow,137064,14,95,10823774,0,0,0
-10,59,6050,E00007035,Enfield,85676,8,78,6840279,0,0,0
10,-54,3885,E00005602,Croydon,131488,14,59,6779594,0,0,0
