"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"model_unlimitedlocation_0722_allocation.nlogo"
"try07192225"
"07/22/2025 23:38:15:156 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-100","100"
"[run number]","constant_a","reach_distance","constant_b","constant_c","[step]","total-exits","initial-total-pubs","initial-red-pubs","tick-exit","tick-exit-red","exit-rate","exit-rate-red","remaining-total-pubs","remaining-red-pubs"
"1","1.001","5","0.2","40","23","532","2955","2467","1","1","0.338409475465313","0.40535062829347385","2954","2466"
"8","1.001","5","0.2","40","23","553","2955","2467","0","0","0","0","2955","2467"
"7","1.001","5","0.2","40","23","554","2955","2470","0","0","0","0","2955","2470"
"5","1.001","5","0.2","40","23","550","2955","2469","0","0","0","0","2955","2469"
"2","1.001","5","0.2","40","23","540","2955","2467","0","0","0","0","2955","2467"
"4","1.001","5","0.2","40","23","548","2955","2467","0","0","0","0","2955","2467"
"6","1.001","5","0.2","40","23","548","2955","2468","1","0","0.338409475465313","0","2954","2468"
"3","1.001","5","0.2","40","2","538","2955","2477","60","10","20.30456852791878","4.037141703673799","2895","2467"
"1","1.001","5","0.2","40","24","532","2955","2466","0","0","0","0","2955","2466"
"8","1.001","5","0.2","40","24","553","2955","2467","0","0","0","0","2955","2467"
"5","1.001","5","0.2","40","24","551","2955","2469","1","1","0.338409475465313","0.4050222762251924","2954","2468"
"2","1.001","5","0.2","40","24","540","2955","2467","0","0","0","0","2955","2467"
"4","1.001","5","0.2","40","24","548","2955","2467","0","0","0","0","2955","2467"
"6","1.001","5","0.2","40","24","548","2955","2468","0","0","0","0","2955","2468"
"7","1.001","5","0.2","40","24","554","2955","2470","0","0","0","0","2955","2470"
"1","1.001","5","0.2","40","25","532","2955","2466","0","0","0","0","2955","2466"
"8","1.001","5","0.2","40","25","553","2955","2467","0","0","0","0","2955","2467"
"5","1.001","5","0.2","40","25","551","2955","2468","0","0","0","0","2955","2468"
"2","1.001","5","0.2","40","25","540","2955","2467","0","0","0","0","2955","2467"
"7","1.001","5","0.2","40","25","554","2955","2470","0","0","0","0","2955","2470"
"6","1.001","5","0.2","40","25","548","2955","2468","0","0","0","0","2955","2468"
"4","1.001","5","0.2","40","25","548","2955","2467","0","0","0","0","2955","2467"
"1","1.001","5","0.2","40","26","532","2955","2466","0","0","0","0","2955","2466"
"5","1.001","5","0.2","40","26","551","2955","2468","0","0","0","0","2955","2468"
"8","1.001","5","0.2","40","26","554","2955","2467","1","0","0.338409475465313","0","2954","2467"
"7","1.001","5","0.2","40","26","554","2955","2470","0","0","0","0","2955","2470"
"2","1.001","5","0.2","40","26","540","2955","2467","0","0","0","0","2955","2467"
"6","1.001","5","0.2","40","26","548","2955","2468","0","0","0","0","2955","2468"
"4","1.001","5","0.2","40","26","548","2955","2467","0","0","0","0","2955","2467"
"5","1.001","5","0.2","40","27","551","2955","2468","0","0","0","0","2955","2468"
"8","1.001","5","0.2","40","27","554","2955","2467","0","0","0","0","2955","2467"
"1","1.001","5","0.2","40","27","532","2955","2466","0","0","0","0","2955","2466"
"7","1.001","5","0.2","40","27","554","2955","2470","0","0","0","0","2955","2470"
"2","1.001","5","0.2","40","27","540","2955","2467","0","0","0","0","2955","2467"
"6","1.001","5","0.2","40","27","548","2955","2468","0","0","0","0","2955","2468"
"4","1.001","5","0.2","40","27","548","2955","2467","0","0","0","0","2955","2467"
"5","1.001","5","0.2","40","28","551","2955","2468","0","0","0","0","2955","2468"
"8","1.001","5","0.2","40","28","554","2955","2467","0","0","0","0","2955","2467"
"7","1.001","5","0.2","40","28","554","2955","2470","0","0","0","0","2955","2470"
"1","1.001","5","0.2","40","28","532","2955","2466","0","0","0","0","2955","2466"
"2","1.001","5","0.2","40","28","541","2955","2467","1","1","0.338409475465313","0.40535062829347385","2954","2466"
"6","1.001","5","0.2","40","28","548","2955","2468","0","0","0","0","2955","2468"
"4","1.001","5","0.2","40","28","548","2955","2467","0","0","0","0","2955","2467"
"5","1.001","5","0.2","40","29","551","2955","2468","0","0","0","0","2955","2468"
"8","1.001","5","0.2","40","29","554","2955","2467","0","0","0","0","2955","2467"
"7","1.001","5","0.2","40","29","554","2955","2470","0","0","0","0","2955","2470"
"2","1.001","5","0.2","40","29","541","2955","2466","0","0","0","0","2955","2466"
"1","1.001","5","0.2","40","29","532","2955","2466","0","0","0","0","2955","2466"
"6","1.001","5","0.2","40","29","548","2955","2468","0","0","0","0","2955","2468"
"4","1.001","5","0.2","40","29","548","2955","2467","0","0","0","0","2955","2467"
"3","1.001","5","0.2","40","3","544","2955","2467","6","1","2.0304568527918785","0.40535062829347385","2949","2466"
"11","1.001","5","0.2","60","0","0","0","0","0","0","0","0","0","0"
"13","1.001","5","0.2","60","0","0","0","0","0","0","0","0","0","0"
"9","1.001","5","0.2","60","0","0","0","0","0","0","0","0","0","0"
